nome,level,troféus,papel
VITTOLA,13,6343,coLeader
☆JOTTACLASH☆,13,6254,coLeader
Pedro ikharo,13,6135,member
Lucas Anzai,13,5971,elder
Diozer,13,5950,elder
Paxenxo13,13,5936,member
Jr. Fênix,13,5890,coLeader
Kaio OPI,13,5853,member
Richard Castro,13,5842,elder
MAITO GAI 8°P,13,5790,member
A.L.A.N,13,5788,member
Eazy-E,13,5782,member
ChrisReiDelas,13,5775,member
GéH BeLo,13,5722,coLeader
CAIOXL,13,5681,member
Lynch,11,5610,member
Tripa Seca,13,5609,member
yDanT,12,5536,member
andremergulho,13,5535,member
crow,11,5532,member
ashi,12,5532,member
Maximus,13,5531,coLeader
mthscouto,11,5526,member
Dienio,13,5523,member
raphaella,12,5517,member
cezar br,12,5492,member
RPP GAMES YT,13,5491,member
Lendário467,12,5471,member
Careca Matador,13,5446,elder
THChmap,12,5435,member
Viléu,13,5372,member
★※KingOfZuera※★,10,5371,member
Galo,13,5369,member
paula,13,5367,member
Vini_Alves,12,5361,member
felipe,13,5347,member
Eduardo,12,5345,member
DOGLINHAS CLASH,12,5338,member
lela,13,5316,coLeader
vem tranquilo ✌,12,5309,member
Itachi,11,5306,member
«Kash»,12,5287,member
Sidyvicious,11,5249,member
Ermissu,11,5226,member
L&0n@rDo,13,5217,leader
SHAZAN CARAI,12,5213,elder
Zarkov,11,5170,member
Kauã Rios,12,5161,elder
Pedro,11,5157,elder
